--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site			Binding Position						Surface Position
Site 93	[14.7999863   7.3311443  10.48964481] 	[13.95085   8.01167  10.687575]
Site 94	[15.39198882  8.87284846 11.59321098] 	[14.303945  9.075495 11.586635]
Site 95	[13.52444911  6.31135979 11.36948579] 	[13.055905  7.31306  11.34591 ]
Site 96	[10.74057743 12.21734997  4.84608269] 	[10.81011  12.151405  5.94801 ]
Site 97	[12.58988809 12.01740408  5.20940588] 	[12.08801  12.001305  6.19507 ]
Site 98	[10.10457502 13.84051913  5.57782735] 	[10.431095 13.267655  6.46606 ]
Site 99	[13.22728906 13.46935777  6.15028033] 	[12.49002  13.023895  6.844455]
Site 100	[11.72252805 14.74959906  6.42734957] 	[11.47502  13.841855  7.00884 ]
Site 101	[11.51692582 10.97069462  5.09893047] 	[11.31186 11.01346  6.18548]
Site 102	[ 9.13132599 10.1911348   4.92241009] 	[ 9.265495 10.17832   6.02023 ]
Site 103	[10.54562553  9.77724957  5.11835064] 	[10.50101  10.003575  6.2003  ]
Site 104	[ 9.37171277 12.64920218  5.45280307] 	[ 9.654945 12.27981   6.45647 ]
Site 105	[ 8.38051613 11.37209658  5.51768214] 	[ 8.85441  11.262605  6.51179 ]
Site 106	[12.08208157  9.59490664  5.41518627] 	[11.77891   9.853475  6.44736 ]
Site 107	[13.53981116  9.6675878   5.75170081] 	[13.00243   9.714525  6.717335]
Site 108	[13.71468499 12.11343019  6.2759947 ] 	[12.99177  11.88595   7.081925]
Site 109	[14.27446307 10.65873994  6.64162463] 	[13.457155 10.677005  7.38757 ]
Site 110	[9.80205376 8.50583326 5.30439977] 	[9.732545 9.018335 6.28211 ]
Site 111	[ 7.36750104 10.38246537  5.75922093] 	[ 8.085945 10.277365  6.5936  ]
Site 112	[8.51639437 7.53943964 6.30186841] 	[8.842865 8.36265  6.96445 ]
Site 113	[6.98558072 8.69001594 6.64816687] 	[7.834425 9.15327  7.185225]
Site 114	[12.34659811  8.18833287  5.76634609] 	[12.19158   8.70464   6.732155]
Site 115	[9.99538358 7.44845132 6.32565346] 	[10.07838   8.187905  7.14452 ]
Site 116	[11.53400399  7.25397916  6.59583355] 	[11.349635  8.023265  7.369205]
Site 117	[14.84129423  9.43027458  7.15271863] 	[13.869825  9.52817   7.672365]
Site 118	[12.89270423  6.97820408  7.09120793] 	[12.573155  7.884315  7.63918 ]
Site 119	[14.47645724  7.72973954  7.99544368] 	[13.62604   8.395655  8.23372 ]
Site 120	[ 7.99855742 12.70265831  6.08527594] 	[ 8.475395 12.378855  7.02984 ]
Site 121	[10.30286745 14.74653858  6.72855187] 	[10.319855 13.97026   7.5173  ]
Site 122	[ 7.74643023 14.00858378  6.64133336] 	[ 8.140755 13.4768    7.527565]
Site 123	[ 8.88118524 14.96532456  7.40713502] 	[ 9.17895 14.09263  8.01797]
Site 124	[ 6.6055055  12.60496144  6.76895025] 	[ 7.34022  12.459595  7.582885]
Site 125	[ 6.57679171 10.0630854   6.98537946] 	[ 7.42334  10.237555  7.676785]
Site 126	[ 6.01122579 11.53157149  8.09128394] 	[ 7.0234   11.510875  8.54526 ]
Site 127	[12.86945476 14.46762994  7.23592054] 	[12.37878  13.7265    7.895695]
Site 128	[14.76949356 11.89886925  7.43924162] 	[13.859165 11.699595  8.036955]
Site 129	[14.00650243 14.33970471  8.42328265] 	[13.233645 13.63815   8.790275]
Site 130	[14.25016328 12.37802387  9.03610142] 	[13.169415 12.359785  8.80299 ]
Site 131	[10.05704178 15.57981579  7.95870494] 	[10.222875 14.66683   8.56075 ]
Site 132	[12.79487753 15.27482012  8.48460818] 	[12.218645 14.45611   8.95466 ]
Site 133	[11.41148728 16.15090813  8.9113652 ] 	[11.166375 15.162895  9.34829 ]
Site 134	[15.05516315  8.97213581  8.54822388] 	[14.080765  9.358135  8.903955]
Site 135	[14.45997973 11.87742617  9.22174579] 	[13.6348   11.15084   9.108635]
Site 136	[15.53086129 10.29265547  9.71449408] 	[14.43386  10.42196   9.803015]
Site 137	[10.46151217  6.47926442  7.39184504] 	[10.459955  7.36758   8.051545]
Site 138	[7.52566576 7.65197296 7.45939655] 	[8.18026  8.32284  8.047635]
Site 139	[9.2808163  5.89045823 8.1222754 ] 	[9.575505 6.762785 8.735135]
Site 140	[7.988748   6.60659829 8.59541167] 	[8.564045 7.480875 8.95422 ]
Site 141	[ 7.75695916 15.09111314  8.02368588] 	[ 8.043775 14.17337   8.571015]
Site 142	[ 5.62647737 12.65066433  8.73370225] 	[ 6.68876  12.60882   9.042985]
Site 143	[ 6.1939776  14.50610856  9.16515529] 	[ 7.06477  13.834125  9.278315]
Site 144	[13.40230666  6.87601598  8.49674739] 	[12.784095  7.71428   8.87077 ]
Site 145	[11.09631393  5.65105455  8.44557141] 	[10.84676   6.598145  8.95982 ]
Site 146	[12.30305118  6.00998185  9.32642083] 	[11.88915   7.01567   9.529105]
Site 147	[ 5.74692179 10.35312699  8.71379429] 	[ 6.77188  10.38678   9.136885]
Site 148	[6.82866346 7.52952316 8.79353153] 	[7.555605 8.271495 9.174995]
Site 149	[5.71090456 8.59455767 8.90825879] 	[6.593265 9.05921  9.386915]
Site 150	[ 9.98099331 16.24431097  9.29844173] 	[10.02547  15.285265  9.84896 ]
Site 151	[ 7.48140333 15.22278975  9.27904503] 	[ 8.102965 14.449955  9.76872 ]
Site 152	[ 8.47748802 16.32833894  9.1245628 ] 	[ 8.717975 15.595145  9.916515]
Site 153	[14.63488348 14.25584236 10.45883279] 	[13.718085 13.683705 10.694855]
Site 154	[14.48704647 12.43261989  9.98142938] 	[13.653855 12.40534  10.70757 ]
Site 155	[15.55282062 11.7608308  11.31259455] 	[14.452915 11.67646  11.40195 ]
Site 156	[15.25721551  9.00395873 10.28265021] 	[14.190075  9.289445 10.36437 ]
Site 157	[13.53864951  6.60930373  9.96066247] 	[12.942035  7.52701  10.123645]
Site 158	[ 5.74552398 13.24951228  9.94588092] 	[ 6.74795  12.885405 10.24069 ]
Site 159	[ 5.13773753 10.413038    9.93193288] 	[ 6.193325 10.33253  10.25539 ]
Site 160	[ 5.1372914  12.46314626 11.02306001] 	[ 6.21911  12.341625 11.22616 ]
Site 161	[14.04585954 13.03485242  9.47922809] 	[13.00928  13.089395  9.861955]
Site 162	[12.52288329 16.00456389  9.91395021] 	[12.02124  15.074545 10.24287 ]
Site 163	[14.60599548 11.49018738 10.00808709] 	[13.74411 11.08215 10.56905]
Site 164	[ 9.88602147 17.11725964 10.35494648] 	[ 9.661475 16.09121  10.704055]
Site 165	[8.29654103 5.82976669 9.72771595] 	[8.95085  6.71144  9.862495]
Site 166	[11.39840197  5.37773449 10.24812195] 	[11.0047    6.410875 10.212695]
Site 167	[ 6.26245253  7.3889722  10.12920289] 	[ 6.97705   8.217245 10.2935  ]
Site 168	[ 6.84488992 15.78593267 10.24457751] 	[ 7.73897  15.2559   10.623815]
Site 169	[ 5.63483626 14.0588254  11.21797197] 	[ 6.59512 13.56693 11.46149]
--------------------------------------------------------------
The following sites are binding sites for three-fold sites.
Site			Binding Position						Surface Position
Site 1	[11.16469401 11.52343911 18.0585016 ] 	[10.75094333 11.81033667 17.08049333]
Site 2	[10.77344637 13.63365385 18.03202122] 	[10.50442333 13.19215    17.06109333]
Site 3	[ 9.30710728 10.51087288 17.747389  ] 	[ 9.53348667 11.13846333 16.87281333]
Site 4	[ 8.72741277 13.90220988 17.73286701] 	[ 9.13739    13.36978667 16.86198   ]
Site 5	[ 7.80632315 11.97427164 17.56158063] 	[ 8.53651333 12.11102    16.75033333]
Site 6	[12.37972659 11.0252438  17.37831541] 	[11.94465333 11.32091667 16.41224667]
Site 7	[11.75490711 14.55541887 17.28733812] 	[11.44330667 14.07442333 16.34843   ]
Site 8	[13.54404452 11.9865809  17.10839525] 	[13.06964333 12.25060667 16.15171667]
Site 9	[13.14787815 14.09616623 17.04245819] 	[12.81481667 13.6223     16.1073    ]
Site 10	[ 9.28876702  9.10241558 16.52943727] 	[ 9.51697     9.85761667 15.76289   ]
Site 11	[12.43741033  9.61641839 16.91348077] 	[12.00173     9.92175333 15.95069667]
Site 12	[10.48160408  8.41619285 16.28617851] 	[10.79150333  9.13032667 15.50902   ]
Site 13	[ 8.28153706 15.01144564 16.79933062] 	[ 8.70740333 14.44190667 15.96012667]
Site 14	[11.29089766 15.874181   16.73411242] 	[10.99204667 15.35800333 15.80985667]
Site 15	[ 9.23642686 16.16381702 16.44589949] 	[ 9.62317667 15.54785    15.62066667]
Site 16	[ 6.7348348  11.78146451 16.52674965] 	[ 7.49384    11.92300667 15.74324667]
Site 17	[ 6.9414859  14.91804818 16.1540848 ] 	[ 7.3966     14.35011667 15.32926667]
Site 18	[ 6.00224378 12.98507376 15.99083624] 	[ 6.78391333 13.08998333 15.22403333]
Site 19	[ 8.09276608  8.75227849 15.9035666 ] 	[ 8.24028     9.49066333 15.10167667]
Site 20	[ 6.44978915 10.41650672 15.97775819] 	[ 7.21412333 10.58349667 15.20451333]
Site 21	[14.87418909 11.51849777 15.52833489] 	[13.95319    11.94062667 15.09988667]
Site 22	[14.22642821 14.9227888  15.41023645] 	[13.51852333 14.16825333 15.03667667]
Site 23	[15.3092548  13.35347817 14.46765583] 	[14.23420333 13.12645333 14.41546333]
Site 24	[13.81166675  9.17206986 15.38195209] 	[12.92616667  9.64326667 14.93044   ]
Site 25	[14.67359372 10.31007734 14.76845831] 	[13.75263667 10.73245    14.34016   ]
Site 26	[12.32939128 16.72011038 15.04916996] 	[11.66582333 15.90975333 14.71301667]
Site 27	[13.49496439 15.9758033  14.51201464] 	[12.82079    15.17212667 14.18096667]
