--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site		Binding Position			Surface Position		Indices of atoms involved
Site 17	[10.27940555 16.05992727 16.74665131]	[10.32737327 15.49511753 15.80394825]	[3, 11]
Site 18	[ 8.93925649 15.64348896 16.46966515]	[ 9.2126277  14.93121497 15.67724232]	[3, 13]
Site 19	[ 7.61889247 11.83519409 17.13262303]	[ 8.07807538 11.94039757 16.13859925]	[4, 5]
Site 20	[ 7.6349353  14.89747495 16.3660121 ]	[ 8.09727952 14.33150269 15.54387269]	[4, 13]
Site 21	[ 6.31468279 12.54242126 16.11028491]	[ 7.15733267 12.48088716 15.40590238]	[4, 14]
Site 22	[ 6.43559844 14.09888926 16.29676353]	[ 6.98517318 13.73387176 15.41657615]	[4, 15]
Site 23	[ 8.70098098  8.95338419 16.16974568]	[ 8.91362572  9.68341898 15.37486744]	[5, 12]
Site 24	[ 6.68113247 11.13859033 16.21792035]	[ 7.38678854 11.19980295 15.37631325]	[5, 14]
Site 25	[ 7.01723421  9.62348052 16.22866029]	[ 7.60539471  9.95883114 15.36170748]	[5, 16]
Site 26	[14.22868702 11.68929131 16.6351575 ]	[13.66488473 11.98846502 15.73926573]	[6, 7]
Site 27	[13.73297963 14.6409919  16.42153693]	[13.27709196 14.02005549 15.63629531]	[6, 8]
Site 28	[15.42316828 12.3928174  15.00745784]	[14.35670874 12.48981308 14.75595057]	[6, 22]
Site 29	[14.88633379 14.43436441 15.01440143]	[14.08665346 13.7471367  14.70098568]	[6, 23]
Site 30	[13.17646103  9.35310499 16.46083702]	[12.62963681  9.6877164  15.56695869]	[7, 10]
Site 31	[14.75346721 11.33035565 15.31834078]	[13.85358071 11.33135688 14.68572456]	[7, 22]
Site 32	[14.18578797  9.65554722 15.0730572 ]	[13.34975676 10.1949349  14.60389544]	[7, 24]
Site 33	[11.9342633  16.35668357 16.10111514]	[11.4808009  15.73125923 15.31803388]	[8, 11]
Site 34	[13.96326838 15.24316719 15.0103752 ]	[13.19573264 14.62027097 14.52778925]	[8, 23]
Site 35	[12.62093768 16.4274602  14.76243868]	[12.2323832  15.49725536 14.32227468]	[8, 25]
Site 36	[10.51704549  7.89505957 15.82092727]	[10.80861856  8.62647429 15.0528012 ]	[10, 12]
Site 37	[13.71643113  8.5805333  14.92523122]	[12.81763687  9.05264248 14.50181441]	[10, 24]
Site 38	[12.22070453  7.18875254 14.5528773 ]	[11.89424972  8.21164856 14.31389823]	[10, 26]
Site 39	[ 9.00585708 16.75538598 15.71010911]	[ 9.4606851  16.00542616 15.04626294]	[11, 13]
Site 40	[11.84810193 17.28918762 14.34636067]	[11.32701295 16.33532483 14.17720968]	[11, 25]
Site 41	[ 9.80901717 17.58920365 14.10336179]	[10.0710074  16.52334017 14.03058711]	[11, 28]
Site 42	[ 8.04677326  8.23840473 15.4203704 ]	[ 8.21148918  8.98293675 14.62756479]	[12, 16]
Site 43	[10.69129993  7.39518832 14.53197071]	[10.60535135  8.29269886 13.90182178]	[12, 26]
Site 44	[ 9.40178272  6.93179457 13.89268828]	[ 9.60363045  7.84423762 13.31242525]	[12, 29]
Site 45	[ 8.12069164  7.75363373 14.06295595]	[ 8.62932849  8.58502242 13.55297418]	[12, 32]
Site 46	[ 6.76055973 15.58344712 15.45488512]	[ 7.2338332  14.84389268 14.79226046]	[13, 15]
Site 47	[ 8.73307874 16.96735852 14.28372948]	[ 8.95626184 15.95943761 13.90388118]	[13, 28]
Site 48	[ 7.11867848 16.2206216  14.09473207]	[ 7.77595308 15.38968306 13.79887526]	[13, 30]
Site 49	[ 5.44590347 12.87088778 15.34417846]	[ 6.29388634 12.99327715 14.65429014]	[14, 15]
Site 50	[ 5.84445256 10.34316201 15.32159949]	[ 6.68465199 10.49932073 14.6290106 ]	[14, 16]
Site 51	[ 5.38274451 10.87745452 13.6892632 ]	[ 6.43167024 11.15791439 13.51291961]	[14, 31]
Site 52	[ 5.24548007 12.66151725 13.90952841]	[ 6.24935803 12.39154066 13.54988737]	[14, 77]
Site 53	[ 6.03067688 15.68020145 13.81401025]	[ 6.66384674 14.79205214 13.67157872]	[15, 30]
Site 54	[ 4.99995263 13.8553324  13.48913575]	[ 6.07719855 13.64452527 13.56056114]	[15, 77]
Site 55	[ 5.5765875   9.71124898 13.62030676]	[ 6.65027642  9.91694257 13.49831384]	[16, 31]
Site 56	[ 6.68300136  7.9682099  13.62208494]	[ 7.32109748  8.86043457 13.53981422]	[16, 32]
Site 57	[15.23160796 13.3170154  14.14145522]	[14.27534943 13.09002856 13.6474445 ]	[22, 23]
Site 58	[14.91477548 10.27192068 14.1377337 ]	[14.04158077 10.69628296 13.62058028]	[22, 24]
Site 59	[15.52999111 12.69839139 12.67867793]	[14.47643497 12.39466749 12.59052326]	[22, 59]
Site 60	[15.59898775 10.87785004 12.51599602]	[14.52090543 11.07430927 12.4203807 ]	[22, 70]
Site 61	[13.67865863 16.02055497 13.80004084]	[13.04194469 15.22433657 13.38696505]	[23, 25]
Site 62	[13.12754619 15.16025382 12.4657215 ]	[13.05861607 14.13256804 12.85186987]	[23, 34]
Site 63	[15.2480134  14.00396315 12.50216877]	[14.20637968 13.65199111 12.53555837]	[23, 59]
Site 64	[13.22509123  7.94077977 13.83208269]	[12.61436966  8.71886706 13.35083498]	[24, 26]
Site 65	[14.58968113  8.31271582 13.41513852]	[13.79122491  8.67528319 12.75105075]	[24, 35]
